Set	Ontology	Term	Observed	Mean Expected N Genes	Enrichment	P Value	System
Vindija	GWAS	Red cell distribution width	1	2.2937	0.43597681	0.89461054	hematologic
Vindija	GWAS	Waist-to-hip ratio adjusted for BMI	1	2.2403	0.44636879	0.89541046	skeletal
Vindija	GWAS	Blood pressure	1	2.3324	0.42874293	0.90270973	hematologic
Vindija	GWAS	Post bronchodilator FEV1	2	3.8922	0.51384821	0.90330967	other
Vindija	GWAS	Immune response to smallpox vaccine (IL-6)	1	2.4304	0.4114549	0.91150885	immune
Vindija	GWAS	Coronary artery aneurysm in Kawasaki disease	1	2.467	0.40535063	0.91380862	cardiovascular
Vindija	GWAS	Obesity	1	2.4274	0.41196342	0.9150085	metabolic
Vindija	GWAS	Allergic rhinitis	1	2.475	0.4040404	0.91570843	immune
Vindija	GWAS	Venous thromboembolism adjusted for sickle cell variant rs77121243-T	1	2.5249	0.39605529	0.92240776	hematologic
Vindija	GWAS	Rosacea symptom severity	2	4.1994	0.47625851	0.92350765	integumentary
Vindija	GWAS	Cognitive decline rate in late mild cognitive impairment	1	2.5283	0.39552268	0.92410759	nervous
Vindija	GWAS	Neuroticism	1	2.7916	0.35821751	0.93680632	behavior
Vindija	GWAS	Bipolar disorder	1	2.8067	0.35629031	0.93850615	behavior
Vindija	GWAS	Night sleep phenotypes	5	9.293	0.53803938	0.95390461	behavior
Vindija	GWAS	Loneliness	1	3.1215	0.3203588	0.95650435	behavior
Vindija	GWAS	Parkinson's disease	1	3.136	0.31887755	0.95820418	nervous
Vindija	GWAS	Itch intensity from mosquito bite adjusted by bite size	1	3.2287	0.30972218	0.9620038	immune
Vindija	GWAS	Spherical equivalent or myopia (age of diagnosis)	2	5.1528	0.38813849	0.96390361	nervous
Vindija	GWAS	Type 2 diabetes	4	8.2684	0.48376953	0.96690331	metabolic
Vindija	GWAS	Longevity	1	3.6918	0.27087058	0.97590241	other
Vindija	GWAS	Male-pattern baldness	1	3.8011	0.26308174	0.97760224	integumentary
Vindija	GWAS	Monoclonal gammopathy of undetermined significance	1	3.8066	0.26270162	0.97780222	hematologic
Vindija	GWAS	General cognitive ability	2	5.7518	0.34771724	0.97920208	nervous
Vindija	GWAS	Daytime sleep phenotypes	1	4.0712	0.24562782	0.98310169	behavior
Vindija	GWAS	Body mass index	11	19.9131	0.55240018	0.98990101	metabolic
Vindija	GWAS	Atrial fibrillation	1	4.4871	0.22286109	0.99040096	cardiovascular
Vindija	GWAS	Obesity-related traits	12	22.6834	0.52902122	0.99470053	metabolic
Vindija	GWAS	Post bronchodilator FEV1/FVC ratio	2	8.0361	0.24887694	0.99650035	other
Vindija	GWAS	Menarche (age at onset)	1	6.8312	0.14638716	0.99880012	reproductive
Vindija	HPO	Difficulty climbing stairs (HP:0003551)	3	0.0893	33.59462486	0.00019998	other
Vindija	HPO	Hypermelanotic macule (HP:0001034)	5	0.6475	7.722007722	0.00069993	integumentary
Vindija	HPO	Hypopigmented skin patches (HP:0001053)	5	0.6908	7.237984945	0.00089991	integumentary
Vindija	HPO	Thin bony cortex (HP:0002753)	2	0.0474	42.19409283	0.00109989	skeletal
Vindija	HPO	Rapidly progressive (HP:0003678)	3	0.2148	13.96648045	0.00149985	other
Vindija	HPO	Abnormal urine output (HP:0012590)	2	0.0867	23.06805075	0.00319968	urinary
Vindija	HPO	Adenoma sebaceum (HP:0009720)	2	0.0855	23.39181287	0.00339966	integumentary
Vindija	HPO	Angiofibromas (HP:0010615)	2	0.0855	23.39181287	0.00339966	cardiovascular
Vindija	HPO	Blepharitis (HP:0000498)	2	0.0966	20.70393375	0.00379962	nervous
Vindija	HPO	Abnormal blistering of the skin (HP:0008066)	4	0.6385	6.26468285	0.00439956	integumentary
Vindija	HPO	Bone marrow hypocellularity (HP:0005528)	3	0.3156	9.505703422	0.00479952	other
Vindija	HPO	Abnormality of the lower motor neuron (HP:0002366)	2	0.114	17.54385965	0.00559944	nervous
Vindija	HPO	Abnormality of renal excretion (HP:0011036)	2	0.1261	15.86042823	0.00629937	urinary
Vindija	HPO	Hamartoma of the eye (HP:0010568)	2	0.1241	16.11603546	0.00729927	nervous
Vindija	HPO	Lymphangioma (HP:0100764)	2	0.1329	15.04890895	0.00859914	lymphatic
Vindija	HPO	Episodic fever (HP:0001954)	2	0.1396	14.32664756	0.00929907	other
Vindija	HPO	Wide cranial sutures (HP:0010537)	2	0.1451	13.78359752	0.00939906	skeletal
Vindija	HPO	Skin nodule (HP:0200036)	2	0.1379	14.50326323	0.00989901	integumentary
Vindija	HPO	Visceral angiomatosis (HP:0100761)	2	0.1602	12.48439451	0.01219878	skeletal
Vindija	HPO	Abnormality of the anterior chamber (HP:0000593)	2	0.17	11.76470588	0.01279872	nervous
Vindija	HPO	Renal cell carcinoma (HP:0005584)	3	0.4493	6.677053194	0.01309869	urinary
Vindija	HPO	Aortic valve stenosis (HP:0001650)	2	0.1825	10.95890411	0.01339866	cardiovascular
Vindija	HPO	Uterine neoplasm (HP:0010784)	3	0.507	5.917159763	0.0139986	reproductive
Vindija	HPO	Joint swelling (HP:0001386)	2	0.1753	11.40901312	0.01439856	skeletal
Vindija	HPO	Lumbar hyperlordosis (HP:0002938)	3	0.5256	5.707762557	0.01479852	skeletal
Vindija	HPO	Abnormal cortical bone morphology (HP:0003103)	3	0.4896	6.12745098	0.01479852	skeletal
Vindija	HPO	Joint stiffness (HP:0001387)	2	0.188	10.63829787	0.01509849	skeletal
Vindija	HPO	Sensorimotor neuropathy (HP:0007141)	2	0.1986	10.07049345	0.01519848	nervous
Vindija	HPO	Conjunctival hamartoma (HP:0100780)	1	0.0152	65.78947368	0.01519848	skeletal muscle
Vindija	HPO	Hemangiomatosis (HP:0007461)	2	0.1844	10.84598698	0.01559844	cardiovascular
Vindija	HPO	Lymphedema (HP:0001004)	3	0.5238	5.727376861	0.01609839	lymphatic
Vindija	HPO	Megalocornea (HP:0000485)	2	0.2033	9.837678308	0.01749825	nervous
Vindija	HPO	Alopecia of scalp (HP:0002293)	1	0.0179	55.86592179	0.01759824	integumentary
Vindija	HPO	Melanoma (HP:0002861)	2	0.208	9.615384615	0.01789821	integumentary
Vindija	HPO	Weight loss (HP:0001824)	4	1.0103	3.959220034	0.01869813	metabolic
Vindija	HPO	Sacral dimple (HP:0000960)	3	0.5834	5.142269455	0.01879812	integumentary
Vindija	HPO	Exostoses (HP:0100777)	2	0.218	9.174311927	0.02029797	skeletal
Vindija	HPO	Autoimmune thrombocytopenia (HP:0001973)	1	0.0215	46.51162791	0.02159784	immune
Vindija	HPO	Abnormality of the musculature of the hand (HP:0001421)	2	0.2251	8.884940027	0.02239776	skeletal muscle
Vindija	HPO	Abnormality of the motor neurons (HP:0002450)	2	0.2342	8.53970965	0.02309769	nervous
Vindija	HPO	Abnormal neuron morphology (HP:0012757)	2	0.2342	8.53970965	0.02309769	nervous
Vindija	HPO	Highly arched eyebrow (HP:0002553)	4	1.0832	3.692762186	0.02329767	integumentary
Vindija	HPO	Poor speech (HP:0002465)	2	0.2416	8.278145695	0.02339766	other
Vindija	HPO	Carious teeth (HP:0000670)	4	1.1075	3.611738149	0.02409759	skeletal
Vindija	HPO	Pulmonary hypertension (HP:0002092)	3	0.6291	4.768717215	0.02459754	cardiovascular
Vindija	HPO	Leukopenia (HP:0001882)	3	0.6218	4.824702477	0.02589741	immune
Vindija	HPO	Pulmonary infiltrates (HP:0002113)	2	0.2693	7.426661716	0.02739726	respiratory
Vindija	HPO	Exercise-induced myalgia (HP:0003738)	1	0.0285	35.0877193	0.02829717	skeletal muscle
Vindija	HPO	"Intellectual disability, mild (HP:0001256)"	3	0.6635	4.521477016	0.02879712	nervous
Vindija	HPO	Hypotension (HP:0002615)	2	0.2761	7.243752264	0.03019698	cardiovascular
Vindija	HPO	Abnormality of the pleura (HP:0002103)	2	0.287	6.968641115	0.03249675	respiratory
Vindija	HPO	Back pain (HP:0003418)	1	0.0338	29.58579882	0.03329667	skeletal
Vindija	HPO	Benign neoplasm of the central nervous system (HP:0100835)	2	0.2823	7.084661707	0.03339666	nervous
Vindija	HPO	Premature birth (HP:0001622)	3	0.7028	4.268639727	0.0339966	reproductive
Vindija	HPO	Cafe-au-lait spot (HP:0000957)	3	0.6695	4.480955937	0.0339966	integumentary
Vindija	HPO	Neoplasm of the pancreas (HP:0002894)	2	0.2906	6.882312457	0.03439656	digestive
Vindija	HPO	Mucosal telangiectasiae (HP:0100579)	2	0.2823	7.084661707	0.03439656	integumentary
Vindija	HPO	Limb-girdle muscle atrophy (HP:0003797)	1	0.0373	26.80965147	0.0369963	skeletal muscle
Vindija	HPO	Increased intracranial pressure (HP:0002516)	2	0.3067	6.521030323	0.03809619	nervous
Vindija	HPO	Abnormality of intracranial pressure (HP:0012640)	2	0.3067	6.521030323	0.03809619	nervous
Vindija	HPO	Cerebral cortical atrophy (HP:0002120)	5	1.8778	2.662690382	0.04019598	nervous
Vindija	HPO	Prominent nose (HP:0000448)	2	0.3036	6.587615283	0.04019598	skeletal
Vindija	HPO	Type 2 muscle fiber atrophy (HP:0003554)	1	0.042	23.80952381	0.0409959	skeletal muscle
Vindija	HPO	Muscle fiber atrophy (HP:0100295)	1	0.042	23.80952381	0.0409959	skeletal muscle
Vindija	HPO	Abnormality of the vocal cords (HP:0008777)	1	0.0425	23.52941176	0.04139586	other
Vindija	HPO	Deep venous thrombosis (HP:0002625)	1	0.044	22.72727273	0.04329567	hematologic
Vindija	HPO	Fibroma (HP:0010614)	2	0.3332	6.00240096	0.04369563	reproductive
Vindija	HPO	Asymmetry of the thorax (HP:0001555)	1	0.0465	21.50537634	0.04589541	skeletal
Vindija	HPO	Generalized hyperpigmentation (HP:0007440)	2	0.3327	6.011421701	0.0459954	integumentary
Vindija	HPO	Fibrous tissue neoplasm (HP:0012316)	2	0.3415	5.856515373	0.0459954	other
Vindija	HPO	Bone cyst (HP:0012062)	1	0.048	20.83333333	0.04659534	skeletal
Vindija	HPO	Uterine leiomyosarcoma (HP:0002891)	2	0.3381	5.915409642	0.04889511	reproductive
Vindija	HPO	Leiomyosarcoma (HP:0100243)	2	0.3381	5.915409642	0.04889511	skeletal muscle
Vindija	HPO	Inappropriate behavior (HP:0000719)	1	0.0501	19.96007984	0.0489951	behavior
Vindija	HPO	Spinal muscular atrophy (HP:0007269)	1	0.0528	18.93939394	0.051594841	skeletal muscle
Vindija	HPO	Oligohydramnios (HP:0001562)	3	0.8068	3.718393654	0.051894811	reproductive
Vindija	HPO	Arteriovenous malformation (HP:0100026)	2	0.3688	5.422993492	0.053094691	cardiovascular
Vindija	HPO	Neonatal respiratory distress (HP:0002643)	1	0.0555	18.01801802	0.053794621	respiratory
Vindija	HPO	Camptodactyly of toe (HP:0001836)	2	0.3707	5.395198274	0.053794621	skeletal
Vindija	HPO	Hypomagnesemia (HP:0002917)	1	0.0559	17.88908766	0.054194581	other
Vindija	HPO	Rough bone trabeculation (HP:0100670)	1	0.0554	18.05054152	0.054294571	skeletal
Vindija	HPO	Hereditary nonpolyposis colorectal carcinoma (HP:0006716)	2	0.3631	5.508124484	0.054494551	digestive
Vindija	HPO	Aplasia/Hypoplasia of the nipples (HP:0006709)	2	0.3768	5.307855626	0.055394461	other
Vindija	HPO	Hamartoma (HP:0010566)	2	0.3845	5.201560468	0.056994301	other
Vindija	HPO	Abnormality of magnesium homeostasis (HP:0004921)	1	0.0591	16.92047377	0.057194281	other
Vindija	HPO	Transitional cell carcinoma of the bladder (HP:0006740)	2	0.381	5.249343832	0.058294171	urinary
Vindija	HPO	Bladder neoplasm (HP:0009725)	2	0.381	5.249343832	0.058294171	urinary
Vindija	HPO	Bladder carcinoma (HP:0002862)	2	0.381	5.249343832	0.058294171	urinary
Vindija	HPO	Flexion contracture of toe (HP:0005830)	2	0.3898	5.130836326	0.058494151	skeletal muscle
Vindija	HPO	Joint contractures involving the joints of the feet (HP:0100492)	2	0.3898	5.130836326	0.058494151	skeletal
Vindija	HPO	Ridged nail (HP:0001807)	1	0.0608	16.44736842	0.058994101	integumentary
Vindija	HPO	Congenital glaucoma (HP:0001087)	2	0.4064	4.921259843	0.061293871	nervous
Vindija	HPO	Abdominal situs inversus (HP:0003363)	1	0.0639	15.64945227	0.062093791	other
Vindija	HPO	Abnormality of abdominal situs (HP:0011620)	1	0.0639	15.64945227	0.062093791	cardiovascular
Vindija	HPO	Hand muscle atrophy (HP:0009130)	1	0.0673	14.85884101	0.065693431	skeletal muscle
Vindija	HPO	Muscle stiffness (HP:0003552)	1	0.0683	14.64128843	0.066593341	skeletal muscle
Vindija	HPO	Arthralgia (HP:0002829)	3	0.9084	3.302509908	0.066993301	skeletal
Vindija	HPO	Slow progression (HP:0003677)	3	0.9223	3.252737721	0.067393261	other
Vindija	HPO	Shoulder girdle muscle weakness (HP:0003547)	1	0.0703	14.22475107	0.067693231	skeletal muscle
Vindija	HPO	Insomnia (HP:0100785)	1	0.0705	14.18439716	0.067893211	behavior
Vindija	HPO	Asplenia (HP:0001746)	1	0.07	14.28571429	0.068093191	lymphatic
Vindija	HPO	Aplasia/Hypoplasia of the spleen (HP:0010451)	1	0.07	14.28571429	0.068093191	lymphatic
Vindija	HPO	Spinal cord compression (HP:0002176)	1	0.0709	14.10437236	0.068693131	nervous
Vindija	HPO	Depression (HP:0000716)	2	0.431	4.64037123	0.069193081	behavior
Vindija	HPO	Polyuria (HP:0000103)	1	0.0724	13.8121547	0.070392961	urinary
Vindija	HPO	Renal salt wasting (HP:0000127)	1	0.0731	13.67989056	0.070392961	urinary
Vindija	HPO	Decreased number of large peripheral myelinated nerve fibers (HP:0003387)	1	0.0739	13.53179973	0.070692931	nervous
Vindija	HPO	Abnormal trabecular bone morphology (HP:0100671)	1	0.0736	13.58695652	0.070892911	skeletal
Vindija	HPO	Chromosomal breakage induced by crosslinking agents (HP:0003221)	1	0.0741	13.49527665	0.071792821	other
Vindija	HPO	Distal upper limb amyotrophy (HP:0007149)	1	0.0748	13.36898396	0.072692731	nervous
Vindija	HPO	Upper limb amyotrophy (HP:0009129)	1	0.0748	13.36898396	0.072692731	nervous
Vindija	HPO	Malignant gastrointestinal tract tumors (HP:0006749)	2	0.4268	4.686035614	0.072792721	digestive
Vindija	HPO	Abnormal pupillary function (HP:0007686)	1	0.0756	13.22751323	0.072792721	nervous
Vindija	HPO	Gastrointestinal carcinoma (HP:0002672)	2	0.4268	4.686035614	0.072792721	digestive
Vindija	HPO	Spinal canal stenosis (HP:0003416)	2	0.4497	4.447409384	0.073292671	skeletal
Vindija	HPO	Vomiting (HP:0002013)	3	0.9702	3.092145949	0.074892511	digestive
Vindija	HPO	Abnormality of the neuromuscular junction (HP:0003398)	1	0.0801	12.48439451	0.076292371	nervous
Vindija	HPO	Fatigable weakness (HP:0003473)	1	0.0801	12.48439451	0.076292371	skeletal muscle
Vindija	HPO	Palmoplantar hyperkeratosis (HP:0000972)	1	0.0811	12.33045623	0.077892211	integumentary
Vindija	HPO	Retinopathy (HP:0000488)	2	0.4735	4.223864836	0.081591841	nervous
Vindija	HPO	Supranuclear gaze palsy (HP:0000605)	1	0.0863	11.58748552	0.082291771	nervous
Vindija	HPO	Hyperuricemia (HP:0002149)	1	0.0874	11.4416476	0.084291571	other
Vindija	HPO	Increased purine levels (HP:0004368)	1	0.0874	11.4416476	0.084291571	other
Vindija	HPO	Hyporeflexia of lower limbs (HP:0002600)	1	0.0891	11.22334456	0.085191481	skeletal
Vindija	HPO	Congestive heart failure (HP:0001635)	3	1.0348	2.899110939	0.085291471	cardiovascular
Vindija	HPO	Ectopia lentis (HP:0001083)	2	0.4824	4.145936982	0.085691431	nervous
Vindija	HPO	Arterial thrombosis (HP:0004420)	1	0.091	10.98901099	0.087091291	cardiovascular
Vindija	HPO	Aplasia/Hypoplasia of the lens (HP:0008063)	2	0.4853	4.121162168	0.087391261	nervous
Vindija	HPO	Teleangiectasia of the skin (HP:0100585)	2	0.4886	4.093327876	0.087591241	cardiovascular
Vindija	HPO	Neoplasm of the heart (HP:0100544)	1	0.0923	10.83423619	0.088391161	cardiovascular
Vindija	HPO	Ependymoma (HP:0002888)	1	0.0931	10.74113856	0.089191081	nervous
Vindija	HPO	Enlarged penis (HP:0000040)	1	0.0939	10.64962726	0.089391061	reproductive
Vindija	HPO	T lymphocytopenia (HP:0005403)	1	0.095	10.52631579	0.090590941	immune
Vindija	HPO	Pelvic girdle muscle weakness (HP:0003749)	1	0.0949	10.5374078	0.090790921	skeletal muscle
Vindija	HPO	Chromsome breakage (HP:0040012)	1	0.0952	10.50420168	0.090890911	other
Vindija	HPO	Palmar hyperkeratosis (HP:0010765)	1	0.0958	10.43841336	0.091290871	integumentary
Vindija	HPO	Atresia of the external auditory canal (HP:0000413)	2	0.5072	3.943217666	0.092390761	nervous
Vindija	HPO	Sloping forehead (HP:0000340)	3	1.0734	2.794857462	0.093290671	skeletal
Vindija	HPO	Shawl scrotum (HP:0000049)	1	0.0967	10.34126163	0.093390661	reproductive
Vindija	HPO	Athetosis (HP:0002305)	1	0.0982	10.18329939	0.093790621	nervous
Vindija	HPO	Atelectasis (HP:0100750)	1	0.1	10	0.094290571	respiratory
Vindija	HPO	Macroorchidism (HP:0000053)	1	0.099	10.1010101	0.094390561	reproductive
Vindija	HPO	Abnormality of the hip-girdle musculature (HP:0001445)	1	0.1018	9.823182711	0.097190281	skeletal muscle
Vindija	HPO	Abnormality of the musculature of the pelvis (HP:0001469)	1	0.1018	9.823182711	0.097190281	skeletal muscle
Vindija	HPO	Vertebral clefting (HP:0008428)	1	0.104	9.615384615	0.098890111	skeletal
Vindija	HPO	Abnormality of T cell number (HP:0011839)	1	0.1047	9.551098376	0.099690031	immune
Vindija	HPO	Broad metatarsal (HP:0001783)	1	0.1057	9.460737938	0.100689931	skeletal
Vindija	HPO	Thick nail (HP:0001805)	1	0.1076	9.293680297	0.101289871	integumentary
Vindija	HPO	Rimmed vacuoles (HP:0003805)	1	0.1078	9.276437848	0.101689831	skeletal muscle
Vindija	HPO	Increased connective tissue (HP:0009025)	1	0.1082	9.242144177	0.101689831	other
Vindija	HPO	Increased CSF protein (HP:0002922)	1	0.1072	9.328358209	0.102689731	other
Vindija	HPO	Proximal placement of thumb (HP:0009623)	1	0.1091	9.165902841	0.103289671	skeletal
Vindija	HPO	Hypermetropia (HP:0000540)	3	1.1307	2.653223667	0.104289571	nervous
Vindija	HPO	Flat capital femoral epiphysis (HP:0003370)	1	0.1106	9.04159132	0.104389561	skeletal
Vindija	HPO	High anterior hairline (HP:0009890)	1	0.1103	9.066183137	0.105089491	integumentary
Vindija	HPO	Palmoplantar keratoderma (HP:0000982)	3	1.1606	2.584869895	0.109489051	integumentary
Vindija	HPO	Renal cortical cysts (HP:0000803)	1	0.1149	8.703220191	0.109589041	urinary
Vindija	HPO	Specific learning disability (HP:0001328)	2	0.5467	3.658313517	0.109689031	other
Vindija	HPO	Widely patent fontanelles and sutures (HP:0004492)	1	0.1158	8.635578584	0.109989001	skeletal
Vindija	HPO	Respiratory failure (HP:0002878)	2	0.568	3.521126761	0.110188981	respiratory
Vindija	HPO	Hypoventilation (HP:0002791)	1	0.1171	8.53970965	0.111088891	respiratory
Vindija	HPO	Hypertensive crisis (HP:0100735)	1	0.1202	8.319467554	0.113088691	cardiovascular
Vindija	HPO	Eosinophilia (HP:0001880)	1	0.1198	8.347245409	0.113388661	hematologic
Vindija	HPO	Ptosis (HP:0000508)	6	3.2938	1.821604226	0.114888511	skeletal muscle
Vindija	HPO	Apathy (HP:0000741)	1	0.1225	8.163265306	0.115488451	behavior
Vindija	HPO	Neurodegeneration (HP:0002180)	1	0.1231	8.123476848	0.116188381	nervous
Vindija	HPO	Abnormality of purine metabolism (HP:0004352)	1	0.1223	8.176614881	0.116188381	metabolic
Vindija	HPO	Increased variability in muscle fiber diameter (HP:0003557)	1	0.1233	8.110300081	0.117588241	skeletal muscle
Vindija	HPO	Multiple lipomas (HP:0001012)	1	0.1251	7.993605116	0.117888211	other
Vindija	HPO	Buphthalmos (HP:0000557)	1	0.125	8	0.118288171	nervous
Vindija	HPO	Diminished motivation (HP:0000745)	1	0.1262	7.923930269	0.118488151	behavior
Vindija	HPO	Dolichocephaly (HP:0000268)	3	1.1889	2.523340903	0.118688131	skeletal
Vindija	HPO	Recurrent viral infections (HP:0004429)	1	0.1255	7.96812749	0.118988101	immune
Vindija	HPO	Areflexia of lower limbs (HP:0002522)	1	0.128	7.8125	0.119988001	nervous
Vindija	HPO	Aplasia/Hypoplasia of the fovea (HP:0008060)	1	0.1289	7.757951901	0.120287971	nervous
Vindija	HPO	Hypoplasia of the fovea (HP:0007750)	1	0.1289	7.757951901	0.120287971	nervous
Vindija	HPO	Granulocytopenia (HP:0001913)	1	0.1273	7.855459544	0.120387961	immune
Vindija	HPO	Abnormality of skeletal muscle fiber size (HP:0012084)	1	0.1269	7.880220646	0.120687931	skeletal muscle
Vindija	HPO	Abnormality of the preputium (HP:0100587)	1	0.1298	7.704160247	0.121487851	reproductive
Vindija	HPO	Kyphoscoliosis (HP:0002751)	2	0.5955	3.35852225	0.121487851	skeletal
Vindija	HPO	Subcapsular cataract (HP:0000523)	1	0.1319	7.581501137	0.122187781	nervous
Vindija	HPO	Pruritus (HP:0000989)	2	0.5895	3.392705683	0.122787721	integumentary
Vindija	HPO	Keratitis (HP:0000491)	1	0.1307	7.651109411	0.122787721	nervous
Vindija	HPO	Tubulointerstitial nephritis (HP:0001970)	1	0.1313	7.61614623	0.122887711	urinary
Vindija	HPO	Autosomal recessive inheritance (HP:0000007)	26	20.1339	1.291354382	0.124687531	other
Vindija	HPO	Papilloma (HP:0012740)	1	0.1324	7.552870091	0.124787521	other
Vindija	HPO	Verrucae (HP:0200043)	1	0.1324	7.552870091	0.124787521	integumentary
Vindija	HPO	Tracheoesophageal fistula (HP:0002575)	2	0.6069	3.295435821	0.124987501	respiratory
Vindija	HPO	Meningioma (HP:0002858)	1	0.1346	7.429420505	0.125787421	nervous
Vindija	HPO	Broad palm (HP:0001169)	1	0.1346	7.429420505	0.126587341	skeletal
Vindija	HPO	Hemoptysis (HP:0002105)	1	0.1355	7.380073801	0.127287271	other
Vindija	HPO	Distal sensory impairment (HP:0002936)	2	0.6062	3.299241175	0.127887211	nervous
Vindija	HPO	Easy fatigability (HP:0003388)	1	0.1369	7.304601899	0.127987201	other
Vindija	HPO	Biliary tract neoplasm (HP:0100574)	1	0.1369	7.304601899	0.128187181	digestive
Vindija	HPO	Macrotia (HP:0000400)	3	1.2477	2.40442414	0.128387161	other
Vindija	HPO	Chest pain (HP:0100749)	1	0.1405	7.117437722	0.129087091	other
Vindija	HPO	Autoimmune hemolytic anemia (HP:0001890)	1	0.139	7.194244604	0.131086891	immune
Vindija	HPO	Ascites (HP:0001541)	2	0.6356	3.146633103	0.133686631	digestive
Vindija	HPO	Abnormality of the fovea (HP:0000493)	1	0.144	6.944444444	0.133886611	nervous
Vindija	HPO	Sporadic (HP:0003745)	2	0.6419	3.115750117	0.134286571	other
Vindija	HPO	Meckel diverticulum (HP:0002245)	1	0.1488	6.720430108	0.137186281	digestive
Vindija	HPO	Gowers sign (HP:0003391)	1	0.1486	6.729475101	0.137986201	skeletal muscle
Vindija	HPO	EMG: neuropathic changes (HP:0003445)	1	0.1485	6.734006734	0.140085991	nervous
Vindija	HPO	Volvulus (HP:0002580)	1	0.1517	6.591957811	0.140285971	digestive
Vindija	HPO	Hyponatremia (HP:0002902)	1	0.1524	6.56167979	0.141385861	other
Vindija	HPO	Astrocytoma (HP:0009592)	1	0.1532	6.527415144	0.142285771	nervous
Vindija	HPO	Abnormality of the astrocytes (HP:0100707)	1	0.1532	6.527415144	0.142285771	nervous
Vindija	HPO	Premature graying of hair (HP:0002216)	1	0.1544	6.476683938	0.143085691	integumentary
Vindija	HPO	Choanal atresia (HP:0000453)	2	0.6698	2.98596596	0.143085691	respiratory
Vindija	HPO	Deviation of the thumb (HP:0009603)	1	0.1563	6.397952655	0.144285571	skeletal
Vindija	HPO	Hypotelorism (HP:0000601)	2	0.6691	2.989089822	0.144985501	other
Vindija	HPO	Cavernous hemangioma (HP:0001048)	1	0.1577	6.34115409	0.145585441	cardiovascular
Vindija	HPO	Glioma (HP:0009733)	1	0.1574	6.353240152	0.145785421	nervous
Vindija	HPO	Pulmonary embolism (HP:0002204)	1	0.1569	6.373486297	0.145985401	respiratory
Vindija	HPO	Patent ductus arteriosus (HP:0001643)	3	1.2984	2.310536044	0.146185381	cardiovascular
Vindija	HPO	Severe short stature (HP:0003510)	1	0.1573	6.357279085	0.146285371	skeletal
Vindija	HPO	Asymmetric septal hypertrophy (HP:0001670)	1	0.1595	6.269592476	0.149585041	cardiovascular
Vindija	HPO	Abnormality of the salivary glands (HP:0010286)	1	0.1609	6.215040398	0.150084992	digestive
Vindija	HPO	Severe Myopia (HP:0011003)	1	0.1649	6.064281383	0.150984902	nervous
Vindija	HPO	Mildly elevated creatine phosphokinase (HP:0008180)	1	0.1633	6.123698714	0.151684832	other
Vindija	HPO	Intrauterine growth retardation (HP:0001511)	6	3.5691	1.681096075	0.152784722	other
Vindija	HPO	Mediastinal lymphadenopathy (HP:0100721)	1	0.1685	5.934718101	0.154784522	lymphatic
Vindija	HPO	Hypoplasia of the iris (HP:0007676)	1	0.1689	5.920663114	0.155784422	integumentary
Vindija	HPO	Heterochromia iridis (HP:0001100)	1	0.1681	5.948839976	0.155984402	integumentary
Vindija	HPO	Synophrys (HP:0000664)	2	0.7171	2.789011295	0.159384062	integumentary
Vindija	HPO	Abnormality of chromosome stability (HP:0003220)	1	0.1753	5.70450656	0.160483952	other
Vindija	HPO	Milia (HP:0001056)	1	0.1737	5.757052389	0.160483952	integumentary
Vindija	HPO	Alkalosis (HP:0001948)	1	0.1773	5.640157924	0.162683732	other
Vindija	HPO	Limb-girdle muscle weakness (HP:0003325)	1	0.1796	5.567928731	0.165083492	skeletal muscle
Vindija	HPO	Elevated alkaline phosphatase (HP:0003155)	1	0.1814	5.512679162	0.165283472	other
Vindija	HPO	Long toe (HP:0010511)	1	0.1823	5.485463522	0.166083392	skeletal
Vindija	HPO	Plantar hyperkeratosis (HP:0007556)	1	0.1844	5.422993492	0.166783322	integumentary
Vindija	HPO	Subaortic stenosis (HP:0001682)	1	0.1809	5.527915976	0.166983302	cardiovascular
Vindija	HPO	Abnormality of the left ventricular outflow tract (HP:0011103)	1	0.1809	5.527915976	0.166983302	cardiovascular
Vindija	HPO	Congenital diaphragmatic hernia (HP:0000776)	2	0.7344	2.723311547	0.167183282	respiratory
Vindija	HPO	Colitis (HP:0002583)	1	0.1831	5.46149645	0.167683232	digestive
Vindija	HPO	Intestinal polyposis (HP:0200008)	1	0.1853	5.396654074	0.168983102	digestive
Vindija	HPO	Mask-like facies (HP:0000298)	1	0.1839	5.437737901	0.170282972	other
Vindija	HPO	Aplasia/Hypoplasia of the uvula (HP:0010293)	1	0.1923	5.200208008	0.172782722	skeletal
Vindija	HPO	Disproportionate tall stature (HP:0001519)	1	0.1912	5.230125523	0.173282672	skeletal
Vindija	HPO	Abnormality of T cells (HP:0002843)	1	0.1917	5.21648409	0.173782622	immune
Vindija	HPO	Neoplasm of the rectum (HP:0100743)	1	0.1949	5.130836326	0.176582342	digestive
Vindija	HPO	Hyperhidrosis (HP:0000975)	2	0.7667	2.608582236	0.179982002	integumentary
Vindija	HPO	Choreoathetosis (HP:0001266)	1	0.2031	4.923682915	0.181781822	nervous
Vindija	HPO	Deeply set eye (HP:0000490)	3	1.4752	2.03362256	0.182981702	nervous
Vindija	HPO	Broad ribs (HP:0000885)	1	0.2046	4.887585533	0.183981602	skeletal
Vindija	HPO	Abnormality of sodium homeostasis (HP:0010931)	1	0.2034	4.916420846	0.184781522	other
