GWAS_term	system
GWAS: Vitamin B levels in ischemic stroke	other
GWAS: Vitamin B12 levels	other
GWAS: Vitamin D levels	other
GWAS: Vitamin D levels (dietary vitamin D intake interaction)	other
GWAS: Vitamin E levels	other
GWAS: Vitiligo	integumentary
GWAS: Vogt-Koyanagi-Harada syndrome	integumentary
GWAS: Waist Circumference - Triglycerides (WC-TG)	skeletal
GWAS: Waist circumference	skeletal
GWAS: Waist circumference adjusted for BMI (adjusted for smoking behaviour)	skeletal
GWAS: Waist circumference adjusted for BMI (joint analysis main effects and physical activity interaction)	skeletal
GWAS: Waist circumference adjusted for BMI (joint analysis main effects and smoking interaction)	skeletal
GWAS: Waist circumference adjusted for BMI in active individuals	skeletal
GWAS: Waist circumference adjusted for BMI in inactive individuals	skeletal
GWAS: Waist circumference adjusted for BMI in non-smokers	skeletal
GWAS: Waist circumference adjusted for BMI in smokers	skeletal
GWAS: Waist circumference adjusted for body mass index	skeletal
GWAS: Waist-hip ratio	skeletal
GWAS: Waist-to-hip circumference ratio (dietary energy interaction)	skeletal
GWAS: Waist-to-hip circumference ratio (ever vs never smoking interaction)	skeletal
GWAS: Waist-to-hip circumference ratio (smoking years interaction)	skeletal
GWAS: Waist-to-hip ratio adjusted for BMI	skeletal
GWAS: Waist-to-hip ratio adjusted for BMI (adjusted for smoking behaviour)	skeletal
GWAS: Waist-to-hip ratio adjusted for BMI (age <50)	skeletal
GWAS: Waist-to-hip ratio adjusted for BMI (age >50)	skeletal
GWAS: Waist-to-hip ratio adjusted for BMI (joint analysis for main effect and physical activity interaction)	skeletal
GWAS: Waist-to-hip ratio adjusted for BMI (joint analysis main effects and smoking interaction)	skeletal
GWAS: Waist-to-hip ratio adjusted for BMI in active individuals	skeletal
GWAS: Waist-to-hip ratio adjusted for BMI in inactive individuals	skeletal
GWAS: Waist-to-hip ratio adjusted for BMI in non-smokers	skeletal
GWAS: Waist-to-hip ratio adjusted for BMI x sex interaction	skeletal
GWAS: Waist-to-hip ratio adjusted for BMI x sex x age interaction (4df test)	skeletal
GWAS: Waist-to-hip ratio adjusted for body mass index	skeletal
GWAS: Warfarin maintenance dose	hematologic
GWAS: Wegener's granulomatosis	cardiovascular
GWAS: Weight	skeletal
GWAS: Weight loss (gastric bypass surgery)	skeletal
GWAS: Western dietary pattern	behavior
GWAS: White blood cell count	immune
GWAS: White blood cell count (basophil)	immune
GWAS: White blood cell count (monocyte)	immune
GWAS: White blood cell types	immune
GWAS: White matter growth	nervous
GWAS: White matter hyperintensities in ischemic stroke	nervous
GWAS: White matter hyperintensity burden	nervous
GWAS: White matter integrity	nervous
GWAS: White matter integrity (bipolar disorder risk interaction)	nervous
GWAS: White matter lesion progression	nervous
GWAS: White matter lesion progression (adjusted for white matter lesion burden at baseline)	nervous
GWAS: Whole-brain volume (Alzheimer's disease interaction)	nervous
GWAS: Worry too long after an embarrassing experience	behavior
GWAS: Yeast infection	immune
GWAS: Yu-Zhi constitution type in type 2 diabetes	hematologic
GWAS: Zinc levels	other
GWAS: antipsychotic drug dosage in schizophrenia or schizoaffective disorder	other
GWAS: circulating leptin levels	metabolic
GWAS: circulating leptin levels adjusted for BMI	metabolic
GWAS: facial morphology traits (multivariate analysis)	skeletal
GWAS: middle facial morphology traits (quantitative measurement)	skeletal
GWAS: nicotine metabolite ratio in current smokers	metabolic
GWAS: vWF and FVIII levels	hematologic
