HPO_term	system
HPO: Postnatal microcephaly (HP:0005484)	skeletal
HPO: Cellular immunodeficiency (HP:0005374)	immune
HPO: Malar flattening (HP:0000272)	skeletal
HPO: Delayed cranial suture closure (HP:0000270)	skeletal
HPO: Long face (HP:0000276)	skeletal
HPO: Narrow face (HP:0000275)	skeletal
HPO: Microdontia (HP:0000691)	skeletal
HPO: Natal tooth (HP:0000695)	skeletal
HPO: Conical tooth (HP:0000698)	skeletal
HPO: Choanal atresia (HP:0000453)	respiratory
HPO: Choanal stenosis (HP:0000452)	respiratory
HPO: Depressed nasal ridge (HP:0000457)	skeletal
HPO: Broad nasal tip (HP:0000455)	integumentary
HPO: EEG with generalized epileptiform discharges (HP:0011198)	nervous
HPO: Anosmia (HP:0000458)	nervous
HPO: Primary adrenal insufficiency (HP:0008207)	endocrine
HPO: Dyskinesia (HP:0100660)	nervous
HPO: Generalized hypopigmentation of hair (HP:0011358)	integumentary
HPO: Dry hair (HP:0011359)	integumentary
HPO: Premature ovarian failure (HP:0008209)	reproductive
HPO: Pancreatic islet-cell hyperplasia (HP:0004510)	digestive
HPO: Abnormality of the labia (HP:0000058)	reproductive
HPO: Clitoromegaly (HP:0000057)	reproductive
HPO: Abnormality of the clitoris (HP:0000056)	reproductive
HPO: Micropenis (HP:0000054)	reproductive
HPO: Macroorchidism (HP:0000053)	reproductive
HPO: Abnormality of alanine metabolism (HP:0010916)	metabolic
HPO: Abnormality of pyruvate family amino acid metabolism (HP:0010915)	metabolic
HPO: Abnormality of homocysteine metabolism (HP:0010919)	metabolic
HPO: Short middle phalanx of the 5th finger (HP:0004220)	skeletal
HPO: Mild short stature (HP:0003502)	skeletal
HPO: Aplasia/Hypoplasia involving the vertebral column (HP:0008518)	skeletal
HPO: Oligodactyly (HP:0012165)	skeletal
HPO: Aplasia/Hypoplasia of the sacrum (HP:0008517)	skeletal
HPO: Aplasia/Hypoplasia of the vertebrae (HP:0008515)	skeletal
HPO: Abnormality of binocular vision (HP:0011514)	nervous
HPO: Abnormality of fatty-acid metabolism (HP:0004359)	metabolic
HPO: Meningocele (HP:0002435)	nervous
HPO: Increased CSF protein (HP:0002922)	other
HPO: Thyroid-stimulating hormone excess (HP:0002925)	endocrine
HPO: Aplasia/Hypoplasia involving the pelvis (HP:0009103)	skeletal
HPO: Arterial thrombosis (HP:0004420)	cardiovascular
HPO: Abnormality of pyrimidine metabolism (HP:0004353)	metabolic
HPO: Aplasia/Hypoplasia of the pubic bone (HP:0009104)	skeletal
HPO: Osteomalacia (HP:0002749)	skeletal
HPO: Rickets (HP:0002748)	skeletal
HPO: Slow-growing hair (HP:0002217)	integumentary
HPO: Premature graying of hair (HP:0002216)	integumentary
HPO: Oral leukoplakia (HP:0002745)	other
HPO: Prominent forehead (HP:0011220)	skeletal
HPO: Respiratory insufficiency due to muscle weakness (HP:0002747)	respiratory
HPO: Neoplasm of the colon (HP:0100273)	digestive
HPO: Skin pits (HP:0100276)	integumentary
HPO: Periauricular skin pits (HP:0100277)	integumentary
HPO: Hyperalaninemia (HP:0003348)	metabolic
HPO: Abnormality of the parietal bone (HP:0002696)	skeletal
HPO: Anencephaly (HP:0002323)	nervous
HPO: Resting tremor (HP:0002322)	nervous
HPO: Vertigo (HP:0002321)	nervous
HPO: Abnormality of the pleura (HP:0002103)	respiratory
HPO: Abnormal lung lobation (HP:0002101)	respiratory
HPO: Persistence of primary teeth (HP:0006335)	skeletal
HPO: Hemoptysis (HP:0002105)	other
HPO: Preauricular pit (HP:0004467)	nervous
HPO: Plantar hyperkeratosis (HP:0007556)	integumentary
HPO: Abnormality of the preputium (HP:0100587)	reproductive
HPO: Teleangiectasia of the skin (HP:0100585)	cardiovascular
HPO: Nasal polyposis (HP:0100582)	integumentary
HPO: Delayed puberty (HP:0000823)	endocrine
HPO: Humeroradial synostosis (HP:0003041)	skeletal
HPO: Type II diabetes mellitus (HP:0005978)	metabolic
HPO: Muscle fiber inclusion bodies (HP:0100299)	skeletal muscle
HPO: Muscle fiber atrophy (HP:0100295)	skeletal muscle
HPO: Acute encephalopathy (HP:0006846)	nervous
HPO: Freckling (HP:0001480)	integumentary
HPO: Cardiomegaly (HP:0001640)	cardiovascular
HPO: Patent ductus arteriosus (HP:0001643)	cardiovascular
HPO: Pulmonic stenosis (HP:0001642)	cardiovascular
HPO: Sudden cardiac death (HP:0001645)	cardiovascular
HPO: Dilated cardiomyopathy (HP:0001644)	cardiovascular
HPO: Bicuspid aortic valve (HP:0001647)	cardiovascular
HPO: Dysmetria (HP:0001310)	nervous
HPO: Patellar aplasia (HP:0006443)	skeletal
HPO: Neonatal hypotonia (HP:0001319)	skeletal muscle
HPO: Spontaneous hematomas (HP:0007420)	hematologic
HPO: Ocular albinism (HP:0001107)	nervous
HPO: Retinal atrophy (HP:0001105)	nervous
HPO: Hyperactive renin-angiotensin system (HP:0000841)	other
HPO: Hyperparathyroidism (HP:0000843)	endocrine
HPO: Growth hormone excess (HP:0000845)	endocrine
HPO: Abnormality of renin-angiotensin system (HP:0000847)	other
HPO: Increased circulating renin level (HP:0000848)	other
HPO: Decreased subcutaneous fat (HP:0001002)	metabolic
HPO: Abnormality of subcutaneous fat tissue (HP:0001001)	metabolic
HPO: Hirsutism (HP:0001007)	integumentary
HPO: Hypotrichosis (HP:0001006)	integumentary
HPO: Lymphedema (HP:0001004)	lymphatic
HPO: Vertebral arch anomaly (HP:0008438)	skeletal
HPO: Primitive neuroectodermal tumor (HP:0030065)	nervous
HPO: Abnormality of the corticospinal tract (HP:0002492)	nervous
HPO: Abnormal glycosylation (HP:0012345)	other
HPO: Short 1st metacarpal (HP:0010034)	skeletal
HPO: Peripheral primitive neuroectodermal neoplasm (HP:0030067)	nervous
HPO: Autoamputation (HP:0001218)	other
HPO: Hemiparesis (HP:0001269)	skeletal muscle
HPO: Choreoathetosis (HP:0001266)	nervous
HPO: Spastic diplegia (HP:0001264)	nervous
HPO: Dysarthria (HP:0001260)	nervous
HPO: Abnormality of the musculature of the pelvis (HP:0001469)	skeletal muscle
HPO: Melanocytic nevus (HP:0000995)	integumentary
HPO: Cutaneous photosensitivity (HP:0000992)	integumentary
HPO: Xanthomatosis (HP:0000991)	metabolic
HPO: Aplasia/Hypoplasia involving the musculature (HP:0001460)	skeletal muscle
HPO: Retinitis pigmentosa (HP:0000510)	integumentary
HPO: 2-3 toe syndactyly (HP:0004691)	skeletal
HPO: Slow saccadic eye movements (HP:0000514)	nervous
HPO: Congenital cataract (HP:0000519)	nervous
HPO: Open mouth (HP:0000194)	other
HPO: Abnormality of the carotid arteries (HP:0005344)	cardiovascular
HPO: Short hallux (HP:0010109)	skeletal
HPO: Abnormality of oral frenula (HP:0000190)	integumentary
HPO: Polar cataract (HP:0010696)	nervous
HPO: Prominent nasal bridge (HP:0000426)	integumentary
HPO: Epileptiform EEG discharges (HP:0011182)	nervous
HPO: Epistaxis (HP:0000421)	other
HPO: Granulocytopenia (HP:0001913)	immune
HPO: Hypoventilation (HP:0002791)	respiratory
HPO: Aplastic anemia (HP:0001915)	hematologic
HPO: Myositis (HP:0100614)	skeletal muscle
HPO: Ovarian neoplasm (HP:0100615)	reproductive
HPO: Severe global developmental delay (HP:0011344)	nervous
HPO: Medial flaring of the eyebrow (HP:0010747)	integumentary
HPO: Short metatarsal (HP:0010743)	skeletal
HPO: Death in childhood (HP:0003819)	other
HPO: Renal cell carcinoma (HP:0005584)	urinary
HPO: Enlarged epiphyses (HP:0010580)	skeletal
HPO: Type I transferrin isoform profile (HP:0003642)	other
HPO: Irregular epiphyses (HP:0010582)	skeletal
HPO: Small epiphyses (HP:0010585)	skeletal
HPO: Prolonged partial thromboplastin time (HP:0003645)	hematologic
HPO: Abnormality of long-chain fatty-acid metabolism (HP:0010964)	metabolic
HPO: Severe short stature (HP:0003510)	skeletal
HPO: Polyphagia (HP:0002591)	behavior
HPO: Ileus (HP:0002595)	digestive
HPO: Abnormality of liposaccharide metabolism (HP:0010968)	metabolic
HPO: Abnormality of glycolipid metabolism (HP:0010969)	metabolic
HPO: Anxiety (HP:0000739)	behavior
HPO: Congenital onset (HP:0003577)	other
HPO: Stereotypic behavior (HP:0000733)	behavior
HPO: Irritability (HP:0000737)	behavior
HPO: Disinhibition (HP:0000734)	behavior
HPO: Abnormality of the phalanges of the hallux (HP:0010057)	skeletal
HPO: Germ cell neoplasia (HP:0100728)	reproductive
HPO: Neonatal death (HP:0003811)	other
HPO: Gastrointestinal stroma tumor (HP:0100723)	digestive
HPO: Mediastinal lymphadenopathy (HP:0100721)	lymphatic
HPO: Aplasia/Hypoplasia of the frontal sinuses (HP:0009119)	respiratory
HPO: Abnormality of chromosome segregation (HP:0002916)	other
HPO: Hypomagnesemia (HP:0002917)	other
HPO: Elevated hepatic transaminases (HP:0002910)	digestive
HPO: CNS hypomyelination (HP:0003429)	nervous
HPO: Myoglobinuria (HP:0002913)	other
HPO: Complement deficiency (HP:0004431)	immune
HPO: Severe combined immunodeficiency (HP:0004430)	immune
HPO: Diaphragmatic weakness (HP:0009113)	respiratory
HPO: Agammaglobulinemia (HP:0004432)	immune
HPO: Abnormality of glycosphingolipid metabolism (HP:0004343)	metabolic
HPO: Cranial hyperostosis (HP:0004437)	skeletal
HPO: Abnormality of vitamin B metabolism (HP:0004340)	metabolic
HPO: Tracheomalacia (HP:0002779)	respiratory
HPO: Tracheal stenosis (HP:0002777)	respiratory
HPO: Lip pit (HP:0100267)	integumentary
HPO: Decreased circulating renin level (HP:0003351)	other
HPO: Abnormality of the parathyroid morphology (HP:0011766)	endocrine
HPO: Frequent falls (HP:0002359)	other
HPO: Memory impairment (HP:0002354)	nervous
HPO: Difficulty walking (HP:0002355)	other
HPO: Aplasia of the phalanges of the hand (HP:0009802)	skeletal
HPO: Maternal diabetes (HP:0009800)	reproductive
HPO: Nephrogenic diabetes insipidus (HP:0009806)	urinary
HPO: Spinal cord compression (HP:0002176)	nervous
HPO: Clonus (HP:0002169)	nervous
HPO: Postural instability (HP:0002172)	other
HPO: Gait imbalance (HP:0002141)	nervous
HPO: Gliosis (HP:0002171)	nervous
HPO: Dandy-Walker malformation (HP:0001305)	nervous
HPO: Bone cyst (HP:0012062)	skeletal
HPO: Rectal fistula (HP:0100590)	digestive
HPO: Potter facies (HP:0002009)	other
HPO: Deep philtrum (HP:0002002)	integumentary
HPO: Facial cleft (HP:0002006)	other
HPO: Frontal bossing (HP:0002007)	skeletal
HPO: Bilateral microphthalmos (HP:0007633)	nervous
HPO: Obstructive lung disease (HP:0006536)	respiratory
HPO: Tibial bowing (HP:0002982)	skeletal
HPO: Complete atrioventricular canal defect (HP:0001674)	cardiovascular
HPO: Short phalanx of the thumb (HP:0009660)	skeletal
HPO: Asymmetric septal hypertrophy (HP:0001670)	cardiovascular
HPO: Absent phalangeal crease (HP:0006109)	integumentary
HPO: Atrioventricular block (HP:0001678)	cardiovascular
HPO: Abnormality of the axillary hair (HP:0100134)	integumentary
HPO: Atrioventricular canal defect (HP:0006695)	cardiovascular
HPO: Abnormal autonomic nervous system physiology (HP:0012332)	nervous
HPO: Abnormal biliary tract morphology (HP:0012440)	digestive
HPO: Insulin resistance (HP:0000855)	metabolic
HPO: Goiter (HP:0000853)	endocrine
HPO: Redundant skin (HP:0001582)	integumentary
HPO: Hyperaldosteronism (HP:0000859)	endocrine
HPO: Menstrual irregularities (HP:0000858)	reproductive
HPO: Aplasia/Hypoplasia of the capital femoral epiphysis (HP:0005003)	skeletal
HPO: Atrophic scars (HP:0001075)	integumentary
HPO: Epileptic encephalopathy (HP:0200134)	nervous
HPO: Abnormality of the line of Schwalbe (HP:0008048)	nervous
HPO: Short femoral neck (HP:0100864)	skeletal
HPO: Duodenal stenosis (HP:0100867)	digestive
HPO: Aplasia/Hypoplasia of the 1st metacarpal (HP:0010026)	skeletal
HPO: Generalized hypotonia (HP:0001290)	skeletal muscle
HPO: Stroke (HP:0001297)	cardiovascular
HPO: Heterochromia iridis (HP:0001100)	integumentary
HPO: Pallor (HP:0000980)	integumentary
HPO: Palmoplantar keratoderma (HP:0000982)	integumentary
HPO: Abnormality of the upper arm (HP:0001454)	skeletal
HPO: Pruritus (HP:0000989)	integumentary
HPO: Skin rash (HP:0000988)	immune
HPO: Distal lower limb muscle weakness (HP:0009053)	skeletal muscle
HPO: Telecanthus (HP:0000506)	skeletal
HPO: Ptosis (HP:0000508)	skeletal muscle
HPO: Sandal gap (HP:0001852)	skeletal
HPO: Postural tremor (HP:0002174)	nervous
HPO: Narrow palate (HP:0000189)	skeletal
HPO: Abnormality of the 2nd finger (HP:0004100)	skeletal
HPO: Broad alveolar ridges (HP:0000187)	skeletal
HPO: Supraventricular tachycardia (HP:0004755)	cardiovascular
HPO: Ventricular tachycardia (HP:0004756)	cardiovascular
HPO: Thin upper lip vermilion (HP:0000219)	integumentary
HPO: High palate (HP:0000218)	skeletal
HPO: Xerostomia (HP:0000217)	digestive
HPO: Trismus (HP:0000211)	skeletal muscle
HPO: Gingival overgrowth (HP:0000212)	immune
HPO: Genetic anticipation (HP:0003743)	other
HPO: Sporadic (HP:0003745)	other
HPO: Pelvic girdle muscle weakness (HP:0003749)	skeletal muscle
HPO: Depressed nasal tip (HP:0000437)	integumentary
HPO: Wide nasal bridge (HP:0000431)	integumentary
HPO: Underdeveloped nasal alae (HP:0000430)	integumentary
HPO: Abnormality of the nasal mucosa (HP:0000433)	integumentary
HPO: Acanthocytosis (HP:0001927)	hematologic
HPO: Vacuolated lymphocytes (HP:0001922)	lymphatic
HPO: Reticulocytosis (HP:0001923)	hematologic
HPO: Increased muscle lipid content (HP:0009058)	metabolic
HPO: Neoplasm of the respiratory system (HP:0100606)	respiratory
HPO: Recurrent cutaneous fungal infections (HP:0011370)	immune
HPO: Portal hypertension (HP:0001409)	cardiovascular
HPO: Toxemia of pregnancy (HP:0100603)	reproductive
HPO: Small intestinal stenosis (HP:0012848)	digestive
HPO: Chin dimple (HP:0010751)	integumentary
HPO: Exercise-induced myalgia (HP:0003738)	skeletal muscle
